RES_EDU1,RES_MAR,RES_AGE
3,3,83
5,4,78
4,4,67
5,3,85
1,3,85
3,3,83
6,5,65
4,4,68
4,4,69
4,3,68
5,4,75
5,3,85
5,3,74
5,3,84
2,5,68
5,3,68
4,3,68
3,3,81
1,3,81
3,3,81
5,3,79
2,3,86
2,3,90
3,4,77
3,3,67
3,3,70
3,3,80
3,3,85
4,5,91
5,3,70
4,3,71
5,3,71
4,5,79
3,4,75
1,3,81
1,3,85
3,3,70
3,5,72
1,3,85
3,3,82
2,5,66
3,3,75
3,4,69
3,3,78
1,3,87
4,3,84
2,3,77
2,3,77
3,3,74
4,3,81
2,3,65
3,3,69
4,3,65
4,3,71
2,3,73
1,3,82
3,3,74
3,3,69
2,3,80
3,3,71
3,5,70
3,5,73
7,3,79
5,3,81
2,3,80
4,3,66
2,3,80
2,3,81
5,3,72
2,3,78
2,3,83
5,4,67
1,3,91
3,3,73
1,3,84
3,3,78
3,3,78
3,3,78
2,5,72
2,3,89
2,3,84
3,3,71
2,3,82
3,3,79
3,3,79
1,3,81
6,4,68
3,3,81
5,3,71
3,5,74
4,4,79
2,3,85
2,3,88
3,3,73
5,3,74
1,3,80
4,3,69
5,4,66
5,3,82
3,5,77
1,3,88
2,3,78
3,3,76
3,3,76
2,3,83
4,5,83
4,3,72
2,3,78
5,3,65
3,3,75
4,3,72
3,3,88
3,4,81
5,3,70
1,3,76
3,3,81
5,4,65
2,3,87
5,3,80
3,3,80
5,3,76
5,4,70
4,3,69
3,3,74
3,3,85
1,3,79
6,4,75
3,3,72
3,3,80
3,3,74
7,5,70
5,4,66
1,3,83
1,3,77
3,3,91
3,3,95
1,3,85
3,3,81
1,3,79
3,4,68
7,4,70
4,4,70
5,4,66
4,3,73
4,5,69
1,3,85
3,3,81
3,3,82
4,5,69
5,3,65
1,3,89
3,3,89
3,3,73
1,3,84
1,3,85
4,5,73
1,3,75
5,3,66
1,3,82
5,3,85
2,3,85
3,3,78
5,3,69
1,3,85
5,5,83
1,3,89
2,3,84
4,4,73
5,3,67
1,3,87
1,3,94
2,3,70
3,3,80
2,3,84
2,4,78
5,3,81
2,3,75
2,3,89
1,3,85
2,3,79
4,1,71
2,3,82
2,3,84
2,3,70
8,3,68
1,3,88
2,3,85
3,5,75
3,3,69
3,3,72
2,3,79
4,5,65
5,3,68
7,3,69
3,3,74
1,3,87
1,3,77
7,5,70
3,3,74
5,3,65
3,3,71
1,1,83
4,3,73
3,3,80
2,3,77
4,4,70
3,4,73
3,5,70
1,3,96
3,3,84
1,3,90
3,3,72
1,3,80
3,3,79
3,5,74
1,3,82
2,3,78
3,3,74
3,3,72
3,3,70
5,4,74
2,3,81
5,1,75
3,3,78
7,5,67
4,3,65
4,3,72
3,5,86
5,3,80
4,3,91
7,5,66
1,3,88
4,4,73
3,3,78
1,3,82
7,3,67
1,3,82
1,3,85
3,3,92
1,3,76
3,3,75
3,5,75
3,3,76
3,3,75
5,5,65
1,3,80
3,3,96
2,3,69
3,3,85
3,3,87
5,5,65
5,5,67
3,3,77
3,5,68
3,3,84
2,5,69
1,3,74
3,3,75
3,3,78
5,4,65
1,3,81
2,3,72
2,3,74
3,4,67
3,3,65
3,3,90
5,3,88
3,4,73
2,3,71
3,3,79
5,5,77
2,4,75
4,5,74
5,3,67
1,5,77
4,4,74
3,5,71
4,3,80
3,3,75
3,3,77
5,5,84
3,5,79
4,3,65
1,3,81
2,3,93
3,3,77
1,3,94
5,5,75
3,3,86
6,3,69
1,3,81
2,3,89
1,4,76
3,3,74
5,3,79
2,3,78
4,3,80
5,4,66
3,3,73
4,5,74
5,5,74
5,3,82
7,3,88
4,5,80
5,3,90
1,3,82
5,5,72
4,5,71
6,3,75
3,3,74
4,5,74
4,3,69
2,4,79
1,3,81
2,3,70
2,3,87
4,3,81
3,3,67
3,3,78
3,3,86
3,3,76
4,3,73
3,3,66
2,3,89
3,3,86
7,3,68
3,3,85
2,3,82
2,3,82
4,4,75
1,3,78
1,3,80
3,3,76
1,3,84
5,3,73
6,4,65
4,4,70
4,3,67
4,5,69
1,3,87
5,4,71
5,3,65
1,3,79
2,3,83
5,1,67
1,3,83
2,3,82
3,3,73
4,3,80
2,3,81
5,4,65
4,4,69
5,4,66
4,3,66
5,3,66
