제목,모델명,컬러,상태,"파손,찍힘",화면불량,기능불량,배터리,케어플러스,본문,신뢰지수,가격
아이폰 15 프로 128GB,아이폰 15 프로 128GB,블루 티타늄,,,,,,,"구성품은 사진에 보이는 것처럼 본체와 박스, 설명서, 유심핀이 포함되어 있어요

배터리성능 88%이고 초기화 했습니다.
사설 수리 없고 매번 케이스 끼고 사용했는데 테두리에
기스는 아니고 자국 같은게 있네요..

마지막 사진 보면 카메라 상단에 기스가 있는데
렌즈는 이상 없습니다. 기스 발견하고 그 뒤로는
카메라 렌즈 보호 끼고 다녔어요

제품 특성상 직거래를 원하며 선입금 시 반품불가로
택배 보내드리겠습니다.",825,"740,000원"
아이폰15 파인우븐 케이스 정품,,,,,,,,,"아이폰15 파인우븐 케이스 정품
색상 멀베리
미사용 새제품입니다

직거래는 이천시 증포동, 택배는 착불입니다",656,"25,000원"
아이폰 15 블루 256G,아이폰 15 256GB,블루,,,,,,,"아이폰 15 블루 256G

- 상태 S급

- 찍힘 ,기스 일절없음

- 사설수리 및 수리내역없음

*거래방식*

- 인천계양 직거래
- 택배이체거래
- 퀵거래시 구매자부담",698,"495,000원"
"아이폰 11프로 256 ios 15, 부품용, 파손폰",,,,,,,,,"01-0-27,9‘6-9.967 문자",511,"350,000원"
아이폰 15 블루 256G,아이폰 15 256GB,블루,,,,,,,"아이폰 15 블루 256G

- 상태 S급

- 찍힘 ,기스 일절없음

- 사설수리 및 수리내역없음

*거래방식*

- 인천계양 직거래
- 택배이체거래
- 퀵거래시 구매자부담",698,"495,000원"
아이폰 15프로 블랙 256G 무잔상 A급 배터리85% 210819,,,,,,,,,"★ 네이버카페 닉네임 클릭후 게시글 보기 누르시면 전체 제품 보실수 있습니다. ★
 ↓ 아래 ↓ "" 글작성자 검색 "" 으로도 더 다양한 제품을 보실 수 있습니다.
 1) 부천중고폰최저가
 2) 부천신중동중고폰짱

★★★★★ 상품 결제 전 재고 확인 및 채팅 한번 부탁드립니다 ★★★★★

★★★ 제품구매후 안드로이드 IOS버전 어플지원종료 인한 반품XX 환불XX 확인하시고 구매해주세요 ★★★

 아이폰6 아이폰6플러스(6+) 아이폰6S 6S플러스(6S+) 아이폰7 아이폰7플러스(7+)
 아이폰8 아이폰8플러스(8+) 아이폰SE2 아이폰SE3 "" 소량 대량 판매 "" 가능합니다!

 ▶ 문의 : 010 8ㅇ98 4334
 ▶ 문의 : 010 8ㅇ98 4334
 ▶ 문의 : 010 8ㅇ98 4334

/// 이체 시 거래가격 입니다 ( 안전거래시 VAT 별도 )

▶ 상품번호 : 210819 (문의주실 때 말씀해주시면 빠른확인 가능합니다.) 

▶ 주소 : 경기도 부천시 중동1141-3 헤리움메트로타워 상가 2층 219호 폰이팡 → 1시간 무료주차 가능
▶ 택배거래 : 로젠택배 → 4천원 / 퀵 구매자 비용 부담시 가능합니다.


기종(모델명) : 아이폰15프로
색상 : 블랙
용량 : 256GB
통신사 : 통신사3사 알뜰 모두 호환 가능
배터리성능 : 85%

 ▶ 구 성 품 추 가 구 매 시 ◀

 1) 액정필름1개 + 케이스1개 = 5천원
 2) 일반 충전기 = 5천원
 3) 25W 초고속 C타입 충전기 = 1만원

 ▶ 제품설명 ◀ 

 무잔상 액정약기스
 테두리 A급 깔끔
 전면 후면 동영상 카메라 정상작동
 에어드랍 지문 모두 정상작동
 기능 터치정상
 선택약정 25%가능

 분실/도난 아니며 모든 사진은 100% 실사진 입니다.

 ▶ 필독 ◀

 페이 결제 시 도착 후 구매확정 까지 보증기간 // 이후 유상수리 최대한 싸게
 이체 거래 시 도착 후 7일 보증기간 // 기기 사무실입고 후 환불
 단순변심 및 소모성부품 문제로 환불X
 퀵 주문 시 기기 불량일 경우 택배비 착불+선불로 가능합니다.
 사용하시던 중고폰구매 / 파손폰구매 / 고장난폰구매 가능합니다.
 상품등록 하지 않은 다른 깨끗한 기계들도 많이 있으니 문의 주세요!!",841,"810,000원"
아이폰15프로맥스256 앞뒤완전무기스 배터리79%,,,,,,,,,"직거래 위치 경기도 부천시 고강동368-20 (홍천화로참숯구이 앞)

배터리79% 사이클504
256GB
ios 26.4.2

기기만 드립니다(충전기 없음, 박스 없음)

앞유리: 실기스도 없습니다. 휴지로 아무리 닦아서 찾아도 실기스 조차 없습니다

뒷유리: 앞유리와 동일합니다.

테두리: 아랫부분 중앙, 왼쪽윗부분 약한 흠집있습니다

후면 카메라 섬: 눈에띄는 기스를 찾으려고 해도 보이질 않습니다.

모든 기능정상 작동합니다(고장난곳 없습니다)

디스플레이 완벽히 정상입니다(번인이나 얼룩없습니다.)

카메라 완벽히 정상입니다(멍이나 초점불량 없습니다)

사설수리 없고, 공식수리도 없습니다

새벽에 자고 오후에 일어납니다.(오전중에는 대부분 잠을 잠)
자는 시간 이외 칼답 드립니다.새벽연락 상관없음

직거래는 오시는 그날 가능합니다.
(주말에 된다 내일된다 시간 끌지 않음)
새벽거래 상관없음

동영상이 20초이하만 된다고 해서 빨리감기한겁니다
눈속임할려고 빨리감기 장난질 한게 아닙니다.
조금이라도 더 상태 자세히 보여드리기위해 동영상까지 올린거지,
사실 동영상 올리는 판매자 없습니다
동영상은 커녕 사진도 제대로 올리지 않는 판매자가 99%입니다.

저는 글도 확실하고 꼼꼼하게 사진도 초점맞춰서 동영상까지 열심히 올린겁니다.",652,"910,000원"
아이폰 15 프로 신지모루 보호필름 풀박스 및 케이스,,,,,,,,,"케이스 상태 좋아요
직거래 원해요",804,"5,000원"
아이폰 15프로 128기가,아이폰 15 프로 128GB,화이트,,,,,,,"아이폰 15프로 128기가

배터리 성능 86%
테두리 잔기스 살짝있음 이외에는 깨끗함
화면에 좌측 끝 미세한 기스 있음

새 폰같은 상태 원하시는분은 패스해주세요.
구매 후 단순 변심으로 인한 환불은 불가하니 신중하게 선택해주세요.
현장에서 네고불가.",488,"730,000원"
아이폰 15 프로 케이스 티파이,,,,,,,,,"사용감 있는데 큰 하자는 없어요
직거래 원해요",804,"10,000원"
